"","Left_Right_Wing","BirthYear","Income","Religiousity","Education","Country","Location","Gender","Occupation","Marital_Status","Age"
"45792",7,1963,5,3,4,"Austria",3,2,112,1,53
"5569",7,1962,5,1,5,"Sweden",4,1,120,2,54
"49661",5,1971,4,2,4,"Sweden",4,1,310,1,45
"5559",7,1970,4,1,7,"Sweden",4,1,240,1,46
"8958",10,1952,3,2,4,"Bulgaria",3,2,520,1,64
"5533",6,1958,4,2,4,"Sweden",1,1,310,1,58
"49462",6,1995,3,3,4,"Austria",1,1,441,4,21
"5467",6,1965,3,2,7,"Sweden",4,1,820,4,51
"5234",5,1968,5,4,6,"Sweden",3,1,130,1,48
"5389",5,1967,5,1,5,"Sweden",4,2,240,1,49
"39582",8,1972,2,2,4,"Austria",2,1,334,4,44
"4996",8,1952,3,1,4,"Sweden",3,1,520,1,64
"4410",3,1980,5,2,4,"Austria",1,1,121,1,36
"48221",4,1955,3,3,9,"Austria",3,1,231,1,61
"51931",3,1951,3,3,4,"Sweden",4,1,510,1,65
"47491",6,1985,4,2,8,"Austria",2,1,134,1,31
"9062",10,1965,4,3,4,"Bulgaria",2,1,520,1,51
"8979",7,1987,5,3,8,"Bulgaria",3,1,420,4,29
"5299",5,1937,2,2,2,"Sweden",2,1,720,1,79
"48902",5,1965,3,3,5,"Austria",1,1,524,1,51
"5496",9,1947,4,2,4,"Sweden",2,1,710,1,69
"41302",5,1985,2,3,7,"Austria",3,1,252,4,31
"49142",6,1964,2,3,4,"Austria",2,2,513,1,52
"8927",5,1960,1,3,4,"Bulgaria",3,2,960,3,56
"5661",3,1947,1,2,4,"Sweden",2,2,410,4,69
"5645",5,1944,1,3,4,"Sweden",4,2,930,2,72
"42692",0,1961,3,3,4,"Austria",1,1,522,1,55
"41741",4,1954,3,3,5,"Austria",1,1,411,3,62
"5245",2,1955,4,3,3,"Sweden",1,2,520,1,61
"47171",4,1984,3,3,3,"Austria",1,2,411,1,32
"5253",7,1959,1,3,4,"Sweden",4,2,340,4,57
"4671",5,1964,4,3,4,"Austria",1,1,411,1,52
"42992",5,1977,5,1,8,"Austria",1,1,216,1,39
"8954",10,1950,2,2,8,"Bulgaria",3,2,210,2,66
"41092",5,1983,4,3,4,"Austria",4,1,432,1,33
"49601",1,1948,4,2,7,"Sweden",1,1,230,1,68
"50231",3,1945,4,2,4,"Sweden",2,1,710,1,71
"51391",5,1956,3,2,3,"Sweden",3,1,240,1,60
"46901",3,1983,1,3,4,"Austria",1,1,522,4,33
"49851",1,1957,1,2,4,"Sweden",2,2,510,4,59
"5727",0,1985,3,1,4,"Sweden",4,2,510,1,31
"49751",5,1953,4,2,4,"Sweden",1,2,510,1,63
"5616",6,1966,3,3,4,"Sweden",4,1,240,4,50
"5656",8,1959,5,2,4,"Sweden",4,1,240,1,57
"5144",7,1943,5,2,4,"Sweden",1,1,610,1,73
"48572",7,1970,2,2,3,"Austria",2,1,723,4,46
"41961",4,1959,4,3,5,"Austria",1,2,233,1,57
"5688",4,1973,5,1,8,"Sweden",3,2,210,1,43
"45971",5,1988,2,2,4,"Austria",2,1,522,4,28
"40232",2,1983,2,2,8,"Austria",4,2,325,1,33
"5703",4,1938,1,2,2,"Sweden",3,2,410,2,78
"5347",6,1959,3,4,9,"Sweden",4,2,230,4,57
"41852",5,1980,3,2,3,"Austria",1,1,721,4,36
"5060",7,1949,5,2,7,"Sweden",3,2,230,1,67
"5704",4,1942,1,2,4,"Sweden",3,2,610,4,74
"50981",3,1991,5,1,5,"Sweden",4,1,230,4,25
"8948",5,1946,4,3,7,"Bulgaria",3,2,330,2,70
"51901",9,1947,5,2,3,"Sweden",3,1,340,1,69
"4646",5,1963,2,1,4,"Austria",2,2,911,3,53
"4604",8,1949,5,4,3,"Austria",2,2,515,1,67
"43651",5,1978,3,2,6,"Austria",1,1,11,1,38
"47331",3,1981,3,3,4,"Austria",3,2,243,4,35
"5781",7,1965,5,2,8,"Sweden",4,2,120,1,51
"8980",7,1961,3,3,4,"Bulgaria",3,2,520,3,55
"40961",7,1992,1,2,5,"Austria",4,2,411,1,24
"41831",5,1958,2,2,4,"Austria",3,2,522,2,58
"8932",5,1989,1,2,4,"Bulgaria",2,1,520,4,27
"5132",5,1943,3,3,3,"Sweden",4,1,240,1,73
"8973",6,1995,5,3,4,"Bulgaria",3,2,520,4,21
"5205",7,1960,5,2,9,"Sweden",4,1,120,1,56
"8964",10,1967,4,3,8,"Bulgaria",2,2,230,1,49
"5002",3,1951,3,4,8,"Sweden",4,2,240,1,65
"5188",3,1950,1,2,4,"Sweden",1,1,830,4,66
"5459",5,1936,1,2,4,"Sweden",4,1,830,2,80
"5396",7,1953,4,1,4,"Sweden",4,1,310,1,63
"5699",2,1975,3,2,6,"Sweden",4,2,330,1,41
"4871",6,1984,4,3,4,"Austria",1,1,741,4,32
"45951",5,1984,5,4,4,"Austria",1,1,513,1,32
"48001",7,1986,2,3,4,"Austria",1,1,322,4,30
"3967",5,1980,4,3,4,"Austria",1,2,134,1,36
"42642",7,1962,2,3,4,"Austria",1,2,522,4,54
"5473",6,1948,5,1,9,"Sweden",4,1,230,4,68
"4369",6,1978,5,3,8,"Austria",4,1,252,1,38
"43971",2,1970,5,2,8,"Austria",1,2,235,1,46
"40491",4,1962,4,3,4,"Austria",1,2,325,1,54
"44111",8,1965,5,1,8,"Austria",1,1,134,1,51
"5294",7,1988,1,2,5,"Sweden",4,1,810,4,28
"5470",5,1944,2,2,4,"Sweden",2,2,340,1,72
"4948",5,1979,3,4,5,"Austria",2,2,334,1,37
"4742",5,1984,5,3,5,"Austria",1,1,332,1,32
"8949",10,1975,4,2,4,"Bulgaria",3,1,520,1,41
"41221",0,1941,2,1,8,"Austria",1,2,524,1,75
"5692",6,1941,2,2,4,"Sweden",1,2,340,1,75
"50411",7,1944,4,2,3,"Sweden",3,2,340,1,72
"4333",8,1982,3,3,4,"Austria",1,1,834,1,34
"48611",3,1970,4,1,5,"Austria",1,2,342,1,46
"5682",7,1967,5,2,7,"Sweden",3,1,120,1,49
"8955",10,1965,5,2,4,"Bulgaria",3,1,510,1,51
"9061",5,1987,3,3,4,"Bulgaria",2,2,520,1,29
"5736",7,1984,3,1,8,"Sweden",1,1,210,1,32
"47082",1,1985,1,1,8,"Austria",3,1,334,4,31
"5669",2,1989,4,2,7,"Sweden",4,2,910,1,27
"4984",8,1974,4,2,6,"Sweden",4,1,410,1,42
"5265",7,1972,5,1,8,"Sweden",4,1,120,1,44
"5673",8,1973,3,2,5,"Sweden",1,1,610,1,43
"47741",5,1964,5,3,8,"Austria",3,1,265,1,52
"44501",7,1981,3,3,4,"Austria",2,1,814,1,35
"5095",7,1949,5,4,4,"Sweden",3,1,520,1,67
"42461",6,1982,5,3,4,"Austria",1,1,611,4,34
"5453",5,1952,3,2,6,"Sweden",1,2,320,1,64
"5264",0,1975,2,4,4,"Sweden",3,2,520,1,41
"9071",6,1952,3,3,8,"Bulgaria",1,1,120,3,64
"5075",6,1985,3,3,4,"Sweden",2,2,520,1,31
"5784",5,1991,3,1,4,"Sweden",3,2,910,4,25
"9074",5,1962,4,3,4,"Bulgaria",1,2,140,1,54
"5458",1,1974,3,2,4,"Sweden",3,2,510,1,42
"5027",8,1961,5,2,6,"Sweden",4,2,320,1,55
"5725",6,1952,4,2,4,"Sweden",4,1,520,1,64
"45391",6,1971,3,3,4,"Austria",2,1,252,4,45
"51861",7,1937,2,3,6,"Sweden",4,2,320,1,79
"44322",5,1961,2,1,9,"Austria",2,1,241,4,55
"50391",6,1965,4,1,8,"Sweden",3,1,210,1,51
"48831",4,1983,3,3,3,"Austria",4,2,411,1,33
"44192",5,1973,3,3,4,"Austria",1,1,314,1,43
"5001",2,1947,4,1,4,"Sweden",4,1,340,1,69
"5486",5,1982,2,2,5,"Sweden",3,2,520,1,34
"5471",7,1943,5,3,6,"Sweden",4,2,330,1,73
"8936",1,1958,3,4,4,"Bulgaria",2,1,960,4,58
"4556",5,1973,2,2,4,"Austria",2,1,933,4,43
"5570",7,1995,4,2,3,"Sweden",4,2,910,4,21
"50611",9,1932,2,1,8,"Sweden",4,2,240,4,84
"5501",3,1956,3,2,5,"Sweden",4,1,830,1,60
"4847",5,1985,5,3,8,"Austria",3,2,412,1,31
"47221",1,1985,3,3,3,"Austria",1,1,821,1,31
"5096",2,1965,5,3,8,"Sweden",4,1,240,1,51
"48261",5,1969,2,4,4,"Austria",1,2,222,4,47
"8985",6,1979,5,2,8,"Bulgaria",3,1,520,1,37
"50821",3,1960,5,2,9,"Sweden",3,1,210,1,56
"9176",5,1952,1,2,4,"Bulgaria",3,1,930,1,64
"9276",5,1964,1,2,4,"Bulgaria",1,2,410,1,52
"40251",0,1975,4,1,8,"Austria",4,1,134,4,41
"5370",2,1981,1,3,8,"Sweden",2,2,230,4,35
"9186",10,1948,3,1,4,"Bulgaria",1,2,810,1,68
"5407",7,1943,4,1,4,"Sweden",4,1,340,1,73
"51821",8,1946,1,3,3,"Sweden",3,1,340,4,70
"9289",0,1945,2,1,4,"Bulgaria",3,1,810,3,71
"51721",5,1952,3,1,6,"Sweden",2,1,320,1,64
"56881",4,1973,5,1,8,"Sweden",3,2,210,1,43
"5456",4,1939,2,2,2,"Sweden",2,1,310,1,77
"41853",5,1980,3,2,3,"Austria",1,1,721,4,36
"9356",8,1967,5,2,4,"Bulgaria",3,1,820,1,49
"46902",3,1983,1,3,4,"Austria",1,1,522,4,33
"4021",3,1964,4,1,6,"Austria",4,1,325,1,52
"49121",6,1978,2,3,8,"Austria",1,2,334,4,38
"9268",0,1958,3,3,8,"Bulgaria",3,2,230,3,58
"9161",2,1949,2,3,4,"Bulgaria",1,2,830,2,67
"5709",7,1947,4,1,8,"Sweden",3,1,240,1,69
"5576",6,1956,4,2,5,"Sweden",4,2,410,1,60
"9318",8,1970,2,2,4,"Bulgaria",3,2,510,3,46
"5607",6,1961,3,1,4,"Sweden",1,1,720,1,55
"5729",7,1972,3,1,4,"Sweden",2,1,240,1,44
"5376",7,1952,5,2,9,"Sweden",4,1,220,1,64
"5482",2,1983,2,1,7,"Sweden",4,2,330,4,33
"48002",7,1986,2,3,4,"Austria",1,1,322,4,30
"43272",4,1962,4,4,4,"Austria",1,2,532,1,54
"9266",0,1966,3,2,4,"Bulgaria",3,1,930,1,50
"9163",7,1957,4,2,4,"Bulgaria",1,1,830,1,59
"56841",5,1969,4,2,6,"Sweden",1,2,230,1,47
"89661",0,1952,3,3,4,"Bulgaria",2,2,440,1,64
"3995",4,1973,5,2,8,"Austria",3,1,243,4,43
"5199",8,1979,4,2,5,"Sweden",3,1,210,4,37
"8928",5,1988,2,4,2,"Bulgaria",2,2,920,1,28
"45743",5,1967,4,2,8,"Austria",1,2,112,1,49
"48821",5,1982,2,3,4,"Austria",4,1,241,4,34
"46381",2,1964,1,1,4,"Austria",1,2,411,4,52
"42993",5,1977,5,1,8,"Austria",1,1,216,1,39
"5068",3,1956,5,1,8,"Sweden",4,1,240,1,60
"5067",5,1986,2,2,4,"Sweden",3,2,910,1,30
"49841",8,1974,4,2,6,"Sweden",4,1,410,1,42
"43331",8,1982,3,3,4,"Austria",1,1,834,1,34
"4281",5,1965,3,3,4,"Austria",3,1,933,4,51
"9302",5,1964,5,1,4,"Bulgaria",2,2,520,1,52
"51531",3,1945,4,2,2,"Sweden",3,2,510,1,71
"47181",3,1969,5,1,5,"Austria",1,1,818,1,47
"9063",7,1958,3,4,4,"Bulgaria",2,2,920,2,58
"40233",2,1983,2,2,8,"Austria",4,2,325,1,33
"5107",4,1956,5,1,9,"Sweden",4,2,230,1,60
"89541",10,1950,2,2,8,"Bulgaria",3,2,210,2,66
"42241",9,1954,1,3,4,"Austria",2,2,511,4,62
"9321",0,1952,3,1,4,"Bulgaria",3,1,830,1,64
"45251",3,1984,3,3,3,"Austria",1,1,818,3,32
"42462",6,1982,5,3,4,"Austria",1,1,611,4,34
"5758",7,1955,4,2,6,"Sweden",3,1,240,1,61
"9104",7,1974,5,1,4,"Bulgaria",3,1,260,1,42
"9297",6,1965,4,2,4,"Bulgaria",3,2,530,1,51
"5572",5,1956,5,2,4,"Sweden",4,2,520,1,60
"41561",3,1969,5,3,4,"Austria",1,1,532,1,47
"50011",2,1947,4,1,4,"Sweden",4,1,340,1,69
"47252",5,1981,1,3,4,"Austria",3,1,523,4,35
"8959",7,1983,4,2,4,"Bulgaria",3,2,510,1,33
"9349",8,1963,5,3,8,"Bulgaria",3,1,350,3,53
"8953",5,1996,4,3,4,"Bulgaria",1,1,820,4,20
"9288",4,1959,5,3,7,"Bulgaria",3,2,230,1,57
"8937",5,1974,1,4,3,"Bulgaria",3,1,510,4,42
"50831",3,1975,1,2,4,"Sweden",4,2,510,1,41
"5742",4,1985,1,1,8,"Sweden",4,1,240,1,31
"5492",7,1974,4,2,7,"Sweden",2,1,210,1,42
"56561",8,1959,5,2,4,"Sweden",4,1,240,1,57
"39583",8,1972,2,2,4,"Austria",2,1,334,4,44
"5146",1,1943,2,2,4,"Sweden",2,2,510,4,73
"45561",5,1973,2,2,4,"Austria",2,1,933,4,43
"4977",6,1977,2,1,7,"Sweden",4,1,120,4,39
"9345",0,1952,4,2,4,"Bulgaria",1,1,830,1,64
"49151",5,1975,5,3,9,"Austria",1,2,221,1,41
"4191",10,1979,3,4,8,"Austria",1,1,112,4,37
"46442",7,1962,4,3,5,"Austria",2,2,234,1,54
"5550",2,1958,3,1,4,"Sweden",4,1,720,1,58
"50412",7,1944,4,2,3,"Sweden",3,2,340,1,72
"5779",6,1968,4,2,7,"Sweden",3,2,320,1,48
"4166",5,1960,5,4,6,"Austria",1,2,226,1,56
"9299",9,1970,4,3,4,"Bulgaria",3,1,720,1,46
"9222",7,1970,4,3,8,"Bulgaria",2,2,440,1,46
"90621",10,1965,4,3,4,"Bulgaria",2,1,520,1,51
"9055",0,1948,3,4,4,"Bulgaria",2,2,410,1,68
"43773",5,1979,5,2,5,"Austria",3,2,134,1,37
"4237",7,1992,5,4,4,"Austria",1,1,834,4,24
"5503",9,1941,3,2,4,"Sweden",4,1,720,1,75
"48903",5,1965,3,3,5,"Austria",1,1,524,1,51
"5515",1,1952,5,2,9,"Sweden",4,1,230,1,64
"48332",5,1980,2,2,3,"Austria",2,1,723,4,36
"44323",5,1961,2,1,9,"Austria",2,1,241,4,55
"5748",8,1967,4,2,7,"Sweden",4,2,320,1,49
"4144",5,1987,4,3,4,"Austria",3,1,522,1,29
"5113",8,1982,3,1,4,"Sweden",3,1,120,4,34
"5196",10,1934,1,3,4,"Sweden",4,2,510,2,82
"5391",7,1980,5,2,5,"Sweden",4,2,340,1,36
"4866",8,1955,5,2,7,"Austria",4,2,241,1,61
"51441",7,1943,5,2,4,"Sweden",1,1,610,1,73
"9126",4,1938,1,3,3,"Bulgaria",1,1,920,2,78
"51331",9,1939,3,4,7,"Sweden",4,2,230,1,77
"9007",4,1946,3,4,3,"Bulgaria",1,1,720,1,70
"9291",10,1954,2,3,7,"Bulgaria",3,2,220,4,62
"5399",0,1953,2,1,7,"Sweden",4,2,240,4,63
"50101",4,1985,1,1,6,"Sweden",4,2,410,1,31
"42781",2,1982,1,2,8,"Austria",4,1,235,4,34
"9080",0,1969,3,3,8,"Bulgaria",2,1,520,4,47
"47641",1,1957,4,1,8,"Austria",3,2,325,3,59
"40521",5,1966,3,3,5,"Austria",2,2,315,1,50
"9092",10,1974,3,2,4,"Bulgaria",2,1,540,1,42
"5602",1,1952,5,1,6,"Sweden",4,1,210,4,64
"42643",7,1962,2,3,4,"Austria",1,2,522,4,54
"5259",7,1944,2,3,8,"Sweden",1,2,230,4,72
"9098",10,1967,5,4,8,"Bulgaria",3,1,210,1,49
"5348",2,1959,4,1,4,"Sweden",3,1,720,1,57
"4989",6,1969,3,2,7,"Sweden",4,2,220,4,47
"5461",7,1976,5,2,8,"Sweden",3,2,340,1,40
"9327",8,1969,4,3,8,"Bulgaria",3,2,510,3,47
"47721",5,1959,3,3,4,"Austria",1,2,411,1,57
"45111",6,1960,4,3,4,"Austria",1,2,911,1,56
"49143",6,1964,2,3,4,"Austria",2,2,513,1,52
"9136",0,1950,1,3,3,"Bulgaria",3,2,810,1,66
"4284",2,1955,4,3,4,"Austria",2,1,314,1,61
"41352",5,1988,3,3,4,"Austria",3,2,721,1,28
"42562",5,1971,4,3,5,"Austria",2,2,235,1,45
"5523",5,1991,1,3,4,"Sweden",4,1,510,4,25
"5390",9,1942,5,2,6,"Sweden",4,1,130,1,74
"8969",10,1951,4,3,4,"Bulgaria",2,1,810,1,65
"5489",5,1945,4,1,4,"Sweden",3,1,310,1,71
"9181",3,1981,2,2,4,"Bulgaria",1,2,910,1,35
"51741",7,1982,4,1,4,"Sweden",2,1,310,1,34
"54641",4,1951,4,2,4,"Sweden",3,1,120,1,65
"5752",7,1972,2,1,8,"Sweden",3,1,710,1,44
"57031",4,1938,1,2,2,"Sweden",3,2,410,2,78
"9281",5,1953,1,3,7,"Bulgaria",1,2,230,1,63
"5032",4,1945,3,2,4,"Sweden",4,2,410,2,71
"9342",6,1979,5,3,8,"Bulgaria",3,2,410,1,37
"9252",7,1952,5,3,4,"Bulgaria",1,1,510,1,64
"3969",2,1962,3,3,4,"Austria",2,2,522,3,54
"43681",2,1972,5,1,6,"Austria",2,1,112,4,44
"57751",4,1956,3,2,8,"Sweden",2,1,230,1,60
"45261",4,1985,4,3,2,"Austria",1,1,621,4,31
"9253",6,1970,1,3,3,"Bulgaria",1,1,920,4,46
"40992",5,1964,5,3,4,"Austria",1,2,141,1,52
"45751",5,1959,2,1,4,"Austria",1,1,731,1,57
"5562",4,1948,4,2,6,"Sweden",2,1,120,1,68
"5774",6,1971,3,1,4,"Sweden",2,1,310,1,45
"9223",7,1993,5,3,4,"Bulgaria",2,2,520,4,23
"49291",5,1980,1,3,4,"Austria",3,1,522,4,36
"9305",2,1954,1,2,4,"Bulgaria",2,2,810,2,62
"9243",10,1974,5,1,4,"Bulgaria",3,2,520,1,42
"9106",0,1951,3,2,4,"Bulgaria",2,1,910,1,65
"52451",2,1955,4,3,3,"Sweden",1,2,520,1,61
"44792",3,1965,3,1,8,"Austria",2,1,216,4,51
"50241",3,1974,5,2,4,"Sweden",1,2,310,1,42
"9097",5,1991,4,2,4,"Bulgaria",2,2,510,4,25
"9107",10,1980,4,3,4,"Bulgaria",2,2,510,4,36
"48601",5,1995,1,4,2,"Austria",1,1,741,4,21
"9192",5,1946,1,3,8,"Bulgaria",2,2,230,2,70
"48911",8,1971,1,3,5,"Austria",2,1,241,4,45
"9085",5,1968,5,4,8,"Bulgaria",2,2,240,1,48
"9293",9,1970,5,2,8,"Bulgaria",3,2,420,1,46
"5552",8,1949,4,1,7,"Sweden",4,1,340,4,67
"44803",5,1966,5,3,5,"Austria",1,1,541,1,50
"49662",5,1971,4,2,4,"Sweden",4,1,310,1,45
"46121",3,1986,3,3,5,"Austria",2,2,235,4,30
"5362",5,1946,3,1,4,"Sweden",4,2,420,1,70
"43581",4,1966,5,3,4,"Austria",1,1,223,1,50
"5761",8,1977,3,2,6,"Sweden",3,1,100,1,39
"9079",0,1973,5,3,8,"Bulgaria",2,2,240,1,43
"54141",5,1938,3,3,3,"Sweden",1,1,120,1,78
"5335",3,1971,4,1,7,"Sweden",2,2,240,1,45
"48802",7,1975,3,3,4,"Austria",2,1,752,4,41
"51371",7,1954,3,2,4,"Sweden",1,1,830,1,62
"5772",7,1947,4,2,5,"Sweden",1,2,240,1,69
"52341",5,1968,5,4,6,"Sweden",3,1,130,1,48
"5721",6,1949,4,2,7,"Sweden",3,2,320,1,67
"47222",1,1985,3,3,3,"Austria",1,1,821,1,31
"5478",0,1958,2,1,3,"Sweden",4,1,510,1,58
"45972",5,1988,2,2,4,"Austria",2,1,522,4,28
"5256",3,1971,4,2,4,"Sweden",1,2,340,1,45
"50601",7,1949,5,2,7,"Sweden",3,2,230,1,67
"9060",10,1977,4,3,4,"Bulgaria",2,2,750,1,39
"51881",3,1950,1,2,4,"Sweden",1,1,830,4,66
"8935",5,1961,3,2,4,"Bulgaria",2,1,510,1,55
"8923",8,1973,2,3,4,"Bulgaria",2,2,520,3,43
"46331",3,1968,1,4,4,"Austria",1,1,263,4,48
"47332",3,1981,3,3,4,"Austria",3,2,243,4,35
"8992",6,1941,1,3,3,"Bulgaria",3,2,510,2,75
"5297",8,1944,5,2,7,"Sweden",2,1,240,1,72
"89491",10,1975,4,2,4,"Bulgaria",3,1,520,1,41
"9183",7,1946,2,3,4,"Bulgaria",1,1,810,1,70
"49171",5,1965,2,3,6,"Austria",2,2,265,3,51
"5371",10,1975,2,1,4,"Sweden",3,1,830,4,41
"50252",7,1963,4,2,4,"Sweden",4,2,120,1,53
"9468",5,1975,3,3,3,"Bulgaria",3,1,930,1,41
"5379",3,1945,4,2,4,"Sweden",3,1,230,1,71
"9810",8,1985,5,3,4,"Bulgaria",2,2,510,1,31
"15229",3,1960,5,1,4,"Czech Republic",2,2,834,1,56
"4065",3,1951,5,1,5,"Austria",3,1,251,1,65
"5719",7,1941,2,2,4,"Sweden",4,1,240,4,75
"9836",8,1991,3,2,4,"Bulgaria",3,2,430,4,25
"5765",7,1949,3,3,4,"Sweden",3,2,910,1,67
"55011",3,1956,3,2,5,"Sweden",4,1,830,1,60
"15246",2,1960,3,1,4,"Czech Republic",4,1,312,1,56
"5494",3,1967,3,2,4,"Sweden",2,1,710,4,49
"91631",7,1957,4,2,4,"Bulgaria",1,1,830,1,59
"89361",1,1958,3,4,4,"Bulgaria",2,1,960,4,58
"42811",5,1965,3,3,4,"Austria",3,1,933,4,51
"9838",8,1980,5,2,8,"Bulgaria",3,1,710,1,36
"49051",4,1981,2,1,4,"Austria",4,1,332,4,35
"40522",5,1966,3,3,5,"Austria",2,2,315,1,50
"5115",7,1964,5,2,6,"Sweden",1,2,320,1,52
"15234",5,1971,4,1,3,"Czech Republic",2,1,834,1,45
"9799",2,1965,3,4,3,"Bulgaria",1,2,530,1,51
"9187",5,1944,3,1,4,"Bulgaria",1,1,830,1,72
"9067",10,1975,4,3,4,"Bulgaria",2,2,510,1,41
"15331",10,1987,4,4,7,"Czech Republic",1,2,234,4,29
"90921",10,1974,3,2,4,"Bulgaria",2,1,540,1,42
"9228",8,1948,3,3,4,"Bulgaria",2,1,810,1,68
"5735",6,1944,2,2,2,"Sweden",1,1,610,2,72
"89542",10,1950,2,2,8,"Bulgaria",3,2,210,2,66
"50141",5,1935,2,2,4,"Sweden",2,1,910,1,81
"44912",0,1961,2,1,4,"Austria",2,1,833,1,55
"15350",0,1948,1,2,2,"Czech Republic",2,2,834,2,68
"15387",1,1947,2,1,2,"Czech Republic",2,1,931,1,69
"9168",3,1970,4,3,8,"Bulgaria",3,2,240,1,46
"9385",10,1941,5,2,3,"Bulgaria",2,2,540,2,75
"40052",4,1983,2,3,8,"Austria",1,2,226,4,33
"5536",1,1967,2,3,4,"Sweden",3,2,210,4,49
"93021",5,1964,5,1,4,"Bulgaria",2,2,520,1,52
"47811",5,1996,2,2,3,"Austria",2,1,721,4,20
"50751",6,1985,3,3,4,"Sweden",2,2,520,1,31
"48421",3,1969,2,3,4,"Austria",2,1,242,2,47
"44771",7,1956,5,4,4,"Austria",3,1,112,1,60
"5367",5,1987,5,2,7,"Sweden",4,2,230,1,29
"53621",5,1946,3,1,4,"Sweden",4,2,420,1,70
"5203",0,1943,1,2,4,"Sweden",4,1,910,4,73
"45071",4,1959,3,3,6,"Austria",2,2,513,3,57
"44502",7,1981,3,3,4,"Austria",2,1,814,1,35
"48471",5,1985,5,3,8,"Austria",3,2,412,1,31
"5493",2,1980,2,2,4,"Sweden",3,1,410,1,36
"49442",5,1990,2,3,4,"Austria",1,1,834,4,26
"9616",6,1958,5,2,4,"Bulgaria",3,1,520,1,58
"40621",8,1958,5,3,5,"Austria",3,2,243,1,58
"5420",2,1945,3,2,4,"Sweden",1,1,310,1,71
"9365",4,1959,1,2,4,"Bulgaria",2,2,810,3,57
"4360",0,1968,3,3,4,"Austria",3,1,713,4,48
"5741",7,1967,4,2,6,"Sweden",3,2,340,1,49
"47253",5,1981,1,3,4,"Austria",3,1,523,4,35
"43752",3,1962,2,4,4,"Austria",2,2,322,3,54
"92761",5,1964,1,2,4,"Bulgaria",1,2,410,1,52
"9719",0,1941,1,4,3,"Bulgaria",1,2,830,2,75
"5204",8,1939,3,3,7,"Sweden",2,1,120,1,77
"9075",5,1945,2,3,3,"Bulgaria",1,1,920,1,71
"42272",5,1986,5,3,4,"Austria",1,1,541,1,30
"52342",5,1968,5,4,6,"Sweden",3,1,130,1,48
"4955",4,1942,5,2,7,"Sweden",4,1,240,1,74
"9383",9,1949,2,1,4,"Bulgaria",2,1,810,3,67
"5423",8,1983,2,1,6,"Sweden",2,1,720,1,33
"9368",7,1972,5,3,4,"Bulgaria",2,1,810,1,44
"9378",6,1932,5,3,3,"Bulgaria",1,1,710,2,84
"9333",9,1984,4,3,8,"Bulgaria",3,2,240,1,32
"53961",7,1953,4,1,4,"Sweden",4,1,310,1,63
"9259",5,1968,3,2,8,"Bulgaria",1,2,230,1,48
"89701",6,1947,2,3,4,"Bulgaria",3,2,430,2,69
"9162",7,1948,3,2,7,"Bulgaria",1,1,350,1,68
"39584",8,1972,2,2,4,"Austria",2,1,334,4,44
"54921",7,1974,4,2,7,"Sweden",2,1,210,1,42
"47722",5,1959,3,3,4,"Austria",1,2,411,1,57
"15256",10,1943,1,1,4,"Czech Republic",3,1,112,2,73
"8947",5,1984,4,2,3,"Bulgaria",3,2,930,1,32
"5130",6,1942,3,2,2,"Sweden",4,1,330,1,74
"42952",6,1969,3,3,4,"Austria",1,1,722,1,47
"48612",3,1970,4,1,5,"Austria",1,2,342,1,46
"90622",10,1965,4,3,4,"Bulgaria",2,1,520,1,51
"5337",6,1982,2,1,4,"Sweden",1,1,710,1,34
"9300",5,1986,5,2,4,"Bulgaria",3,1,510,4,30
"42602",6,1963,4,2,5,"Austria",2,1,251,1,53
"53741",8,1935,2,1,4,"Sweden",2,1,710,1,81
"9915",8,1969,5,3,8,"Bulgaria",1,2,310,1,47
"9650",10,1966,4,3,8,"Bulgaria",1,2,230,3,50
"15279",7,1974,4,1,6,"Czech Republic",2,1,321,1,42
"45861",6,1970,2,3,4,"Austria",2,1,818,4,46
"15264",5,1953,4,1,3,"Czech Republic",2,1,722,2,63
"8988",6,1969,5,3,4,"Bulgaria",3,2,520,1,47
"50991",8,1940,2,3,4,"Sweden",1,2,510,1,76
"8993",7,1942,1,3,3,"Bulgaria",3,2,830,4,74
"5048",5,1978,1,1,7,"Sweden",4,1,410,1,38
"46481",5,1991,2,3,4,"Austria",1,1,834,4,25
"9283",7,1950,3,3,4,"Bulgaria",1,2,410,1,66
"42172",9,1964,5,3,8,"Austria",3,2,241,1,52
"5436",5,1970,2,4,6,"Sweden",2,2,510,1,46
"55521",8,1949,4,1,7,"Sweden",4,1,340,4,67
"57761",5,1961,4,2,4,"Sweden",2,2,910,1,55
"5069",10,1976,5,1,4,"Sweden",3,2,210,1,40
"15375",1,1947,2,1,2,"Czech Republic",2,1,541,1,69
"9802",5,1966,5,4,4,"Bulgaria",1,2,520,1,50
"5479",5,1983,1,3,7,"Sweden",4,2,230,1,33
"9563",5,1954,3,3,4,"Bulgaria",4,2,520,1,62
"9672",5,1970,4,3,4,"Bulgaria",2,1,930,1,46
"8922",7,1988,1,3,3,"Bulgaria",2,2,920,1,28
"5266",5,1978,3,1,7,"Sweden",3,2,340,1,38
"44542",0,1975,3,3,7,"Austria",2,2,226,1,41
"9720",6,1970,3,2,4,"Bulgaria",1,2,420,1,46
"49961",8,1952,3,1,4,"Sweden",3,1,520,1,64
"41191",4,1971,4,3,8,"Austria",2,2,325,1,45
